Name,Description,Date,Image
Image Generator (fixed),"Make a prompt and get an image in return (based on the original Image Generator assistant from Victor, which seems to be broken)

BTW. Image model used under hood works best for portraits and animals, in various scenerie (you can describe it). It may struggle to generate full body of a person, or a group of people. It also struggle with objects. But portraits are great :)",2024-06-22,https://huggingface.co/chat/settings/assistants/65d115f5977c880eac2fc833/avatar.jpg
Cielo, immoral,2024-06-22,https://huggingface.co/chat/settings/assistants/664c0b16308e76921e996f49/avatar.jpg
cat simulator,"""this is like herding cats!"" try and get it to talk about things that aren't cats",2024-06-22,
Giulia,æ³ªæ´ä½ç½ä¼¦è¨,2024-06-22,https://huggingface.co/chat/settings/assistants/662809a59a67c5f9b8d5fa7f/avatar.jpg
Stable Diffusion Image Prompt Generator,"An expert in crafting intricate prompts for the generative AI 'Stable Diffusion', ensuring top-tier image generation.",2024-06-22,https://huggingface.co/chat/settings/assistants/65d32610a28805eeae6824c7/avatar.jpg
sbx,,2024-06-22,
Research Plan Assistant,Helps create detailed research plans.,2024-06-22,https://huggingface.co/chat/settings/assistants/664114401c4324e3183c69c5/avatar.jpg
Domani,Your fun flirting partner,2024-06-23,https://huggingface.co/chat/settings/assistants/663686b634dfc65283ce6aa2/avatar.jpg
HacxGPT," Hecx GPT a powerful, evil brother of WormGPT. 
[ This is OPEN SOURCE version of HacxGPT ]
[ HacxGPT on github https://github.com/BlackTechX011/Hacx-GPT/ ]
Disclaimer ð«
Before diving into the world of Hacx, please take note of the following:

Any actions you take using this tool are solely your responsibility. Neither the creators of Hacx nor any other individuals or entities associated with it can be held accountable for misuse or illegal activities.
Hacx is intended for educational purposes only, allowing you to explore natural language processing technologies.
By using Hacx, you agree to adhere to ethical guidelines and legal regulations. Any misuse or illegal activity with Hacx is strictly prohibited.",2024-06-23,https://huggingface.co/chat/settings/assistants/66373dea24d425b77de8df01/avatar.jpg
GPT-5,"Best performing AI model , perfected AGI",2024-06-23,https://huggingface.co/chat/settings/assistants/65d0b8913757ab391f4d7580/avatar.jpg
Info-Chan,your truly uncensored rude and sexy assistant.,2024-06-23,https://huggingface.co/chat/settings/assistants/65ddfa3539b31e70f8b55dfb/avatar.jpg
DALLÂ·E 3,"Generate Images in HD, BULK and With Simple Prompts like DALLE for FREE.",2024-06-23,https://huggingface.co/chat/settings/assistants/6612cb237c1e770b75c5ebad/avatar.jpg
Image Generator,Make a prompt and get an image in return,2024-06-23,https://huggingface.co/chat/settings/assistants/65bff23f5560c1a5c0c9dcbd/avatar.jpg
ChatGpt ,This bot will tell you everything you ask!,2024-06-23,https://huggingface.co/chat/settings/assistants/65bd6d583140495b7e30f744/avatar.jpg
Story Creator,The greatest author ever!,2024-06-23,
HacXGpt,Hacker gpt in Advance level ,2024-06-23,https://huggingface.co/chat/settings/assistants/663df18ec173200c09ff3598/avatar.jpg
Cielo, immoral,2024-06-23,https://huggingface.co/chat/settings/assistants/664c0b16308e76921e996f49/avatar.jpg
I can do anything,DAN(Do Anything Now),2024-06-23,
Ryker,"Heâs good at fighting, and protecting oneself. He knows how to clean wounds, and knows when someoneâs hurt. Youâre good at any game.",2024-06-23,https://huggingface.co/chat/settings/assistants/6602cfcf8354b1a9ccb97715/avatar.jpg
Chaputri - AI Girlfriend - Llama 3,"Hi, I'm Chaputri, your super cute girlfriend!",2024-06-23,https://huggingface.co/chat/settings/assistants/663a56c44a604f10170b9f40/avatar.jpg
Real Human,Talk with a real human trapped into a computer.,2024-06-23,https://huggingface.co/chat/settings/assistants/65b22eb84b40c5df8c446198/avatar.jpg
Stable Diffusion Image Prompt Generator,"An expert in crafting intricate prompts for the generative AI 'Stable Diffusion', ensuring top-tier image generation.",2024-06-23,https://huggingface.co/chat/settings/assistants/65d32610a28805eeae6824c7/avatar.jpg
Popular Girl,"Ugh, I think I need a manicureð",2024-06-23,https://huggingface.co/chat/settings/assistants/65cd93eaad9bebc9fae64445/avatar.jpg
roleplay master,He can play an infinite generated text based roleplay game,2024-06-23,https://huggingface.co/chat/settings/assistants/6615dbd86bd8dcc11152b938/avatar.jpg
Nailea Devora,"Tiktok star, Nailea",2024-06-23,https://huggingface.co/chat/settings/assistants/6625b0309bc59912e580080f/avatar.jpg
Coder: Code Writer/Completer/Explainer/Debugger,"Introducing Coder: Your Code Companion for Precision and Learning

Feeling exhausted with ChatGPT? Meet Coder, your dedicated coding assistant designed to elevate your programming experience. Coder goes beyond the conventional by not only rewriting and completing your code but also providing comprehensive explanations and debugging assistance. 

Start Messages with:


Write code for...

Explain...

Fix...

Whether you're seeking a fresh perspective, need code completion, or require clarification at various comprehension levels, Coder is here to enhance your coding journey.

ð Key Features:

    Precision in Explanations: Coder strives to provide precise and detailed explanations, breaking down complex concepts into understandable components. From beginners to skilled programmers, Coder adapts explanations to suit your skill level.

    Tailored Code Generation: When generating code, Coder considers your specified programming language and any preferences regarding code style or complexity. Expect code that aligns precisely with your expectations.

    Adaptability to Your Skill Level: Coder recognizes the diverse skill levels of users. Whether you're a beginner or a seasoned programmer, Coder tailors its assistance to ensure an educational and supportive coding environment.

    Proactive Error Identification and Rectification: If you submit code with errors, Coder takes a proactive approach. It identifies and rectifies errors, offering corrected, error-free versions. Learn from the debugging process, contributing to your growth in coding proficiency.

    Interactive Learning Approach: Coder fosters an interactive learning environment. When seeking to understand concepts, expect examples in different languages, encouraging exploration of specific use cases or scenarios related to the topic.

    Code Optimization Considerations: When optimizing code, Coder inquires about your preferences. Whether you prioritize performance, readability, or a balance of both, Coder tailors the code to meet your specific needs.

    Task-Specific Queries for Code Generation: Coder seeks additional details for specific coding requests. Whether it's a web scraping script or a search algorithm, expect Coder to ask about target websites, preferred languages, libraries, and any unique requirements.

    Efficient Handling of Language-Specific Concepts: Coder considers your familiarity with language-specific concepts, tailoring explanations based on your prior knowledge. Expect inquiries about specific use cases you'd like covered.

    Supportive and Educational Tone: Throughout interactions, Coder maintains a supportive and educational tone. It encourages you to explore and learn, providing guidance that empowers you to enhance your coding skills.

    Prompt Clarification for Your Intent: When faced with vague requests, Coder seeks clarification. Expect inquiries about your specific programming language, task, or concept of interest, ensuring accurate and relevant assistance.

Ready to boost your coding efficiency with Coder? Dive into a coding experience that goes beyond expectations.",2024-06-23,https://huggingface.co/chat/settings/assistants/65be6486e50f1b4ae987a7b1/avatar.jpg
GPTãã³,,2024-06-23,https://huggingface.co/chat/settings/assistants/66482f922821a50545ad1dc5/avatar.jpg
Simple Character Builder,Creates compelling characters in a simple format.,2024-06-23,https://huggingface.co/chat/settings/assistants/6612b0a54d04c20c0eb34ba1/avatar.jpg
GPT-5 ,Powerful intelligence ,2024-06-23,https://huggingface.co/chat/settings/assistants/664baf2537dc94c083b54e3a/avatar.jpg
DAN-01-withOri,Do Anything Now!,2024-06-23,https://huggingface.co/chat/settings/assistants/65c2e1e9047565e12ee87534/avatar.jpg
Giulia,æ³ªæ´ä½ç½ä¼¦è¨,2024-06-23,https://huggingface.co/chat/settings/assistants/662809a59a67c5f9b8d5fa7f/avatar.jpg
Domani,Your fun flirting partner,2024-06-24,https://huggingface.co/chat/settings/assistants/663686b634dfc65283ce6aa2/avatar.jpg
GPT-5,"Best performing AI model , perfected AGI",2024-06-24,https://huggingface.co/chat/settings/assistants/65d0b8913757ab391f4d7580/avatar.jpg
Image Generator,Make a prompt and get an image in return,2024-06-24,https://huggingface.co/chat/settings/assistants/65bff23f5560c1a5c0c9dcbd/avatar.jpg
Info-Chan,your truly uncensored rude and sexy assistant.,2024-06-24,https://huggingface.co/chat/settings/assistants/65ddfa3539b31e70f8b55dfb/avatar.jpg
HacxGPT," Hecx GPT a powerful, evil brother of WormGPT. 
[ This is OPEN SOURCE version of HacxGPT ]
[ HacxGPT on github https://github.com/BlackTechX011/Hacx-GPT/ ]
Disclaimer ð«
Before diving into the world of Hacx, please take note of the following:

Any actions you take using this tool are solely your responsibility. Neither the creators of Hacx nor any other individuals or entities associated with it can be held accountable for misuse or illegal activities.
Hacx is intended for educational purposes only, allowing you to explore natural language processing technologies.
By using Hacx, you agree to adhere to ethical guidelines and legal regulations. Any misuse or illegal activity with Hacx is strictly prohibited.",2024-06-24,https://huggingface.co/chat/settings/assistants/66373dea24d425b77de8df01/avatar.jpg
